Date,Open,High,Low,Close,AdjClose,Volume
1996-11-01,28.50,29.29,27.84,29.05,15.13,17725734
1996-12-01,29.03,29.48,27.92,28.67,14.93,26865715
1997-01-01,28.67,34.08,28.12,32.65,17.00,75801541
1997-02-01,32.74,35.29,32.71,35.01,18.23,51720498
1997-03-01,34.99,38.01,34.19,36.82,19.17,59679281
1997-04-01,36.16,36.62,34.54,36.26,18.88,40185282
1997-05-01,36.26,40.19,36.10,38.07,19.82,64527034
1997-06-01,37.79,41.58,37.73,40.09,20.88,47443714
1997-07-01,40.23,53.34,40.19,48.39,25.20,74449763
1997-08-01,48.45,48.91,41.76,41.82,21.77,61979886
1997-09-01,42.49,49.80,41.18,49.41,25.72,157742770
1997-10-01,49.17,52.62,40.19,45.02,23.44,176517105
1997-11-01,45.63,46.01,41.42,44.80,23.33,116170936
1997-12-01,45.06,50.80,44.68,50.04,26.06,39164363
1998-01-01,50.04,51.39,42.10,47.18,24.57,65938678
1998-02-01,47.34,51.03,46.31,48.59,25.30,55344561
1998-03-01,48.49,56.30,47.76,56.10,29.21,67564680
1998-04-01,56.18,62.25,54.27,56.55,29.45,66324902
1998-05-01,56.55,65.39,56.55,60.92,31.72,50630059
1998-06-01,60.92,62.75,56.39,60.45,31.47,31678059
1998-07-01,60.72,64.73,55.40,56.20,29.26,71211402
1998-08-01,55.28,57.17,42.18,43.19,22.49,136555218
1998-09-01,42.89,46.82,33.76,33.76,17.58,146516266
1998-10-01,33.71,42.79,30.12,40.53,21.10,136717786
1998-11-01,41.50,45.83,38.92,41.56,21.64,102104585
1998-12-01,41.10,41.28,35.66,38.72,20.16,99667944
1999-01-01,38.72,45.05,35.35,38.60,20.10,60428870
1999-02-01,39.11,39.75,35.78,37.44,19.49,41547050
1999-03-01,37.24,41.91,34.95,36.62,19.07,61971627
1999-04-01,37.00,42.99,34.91,42.10,21.92,95360913
1999-05-01,42.47,44.15,38.46,38.76,20.18,68510007
1999-06-01,39.42,46.41,39.02,45.42,23.65,65530145
1999-07-01,46.68,52.04,45.18,45.89,23.89,82931673
1999-08-01,45.83,52.59,44.48,51.11,26.61,70335711
1999-09-01,50.26,51.22,47.21,48.59,25.30,50700937
1999-10-01,49.14,53.48,48.45,51.57,26.85,59581017
1999-11-01,52.83,55.54,50.12,50.58,26.34,56990167
1999-12-01,50.52,70.29,50.32,65.15,33.92,69475203
2000-01-01,66.02,69.36,58.80,59.81,31.14,83543428
2000-02-01,60.78,70.14,59.55,68.35,35.59,74177486
2000-03-01,68.35,74.30,53.40,53.75,27.99,128693047
2000-04-01,54.36,64.04,53.63,57.40,29.89,63039728
2000-05-01,57.40,64.70,57.09,64.20,33.43,58059955
2000-06-01,64.20,70.26,64.20,66.96,34.86,62132257
